Á¦¸ñ,È¸Â÷,ÀÛ°¡,º°Á¡,µî·ÏÀÏ,´ñ±Û,ÁÁ¾Æ¿ä,½È¾î¿ä,³¯Â¥,ÃÑ ´ñ±Û¼ö
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,Çö¿ì °¡¹æ Èò»ö¿¡¼­ °ËÀº»öÀ¸·Î ¹Ù²ñ¤»¤»¤»¤»¤»,1,0,20190804,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,´Ù½ÃºÁµµ ±×¸² ÁøÂ¥ ÀÌ»óÇØ.. Á»¸¸ ±×·ÁºÃ¾îµµ ÀÎÃ¼´Â ¾Ë¾Æ¾ßÇÏ´Âµ¥ ¾ó±¼¸¸ ±×¸®´ø»ç¶÷ÀÌ ¸¸È­±×¸°°Å Æ¼³²,10,1,20190804,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,°í3µé °øºÎ³ª ÇØ¶ó ¤»¤»¤»¤»¤»¤»,4,7,20190728,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,º£´ñ¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»,1,0,20190727,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,À¡ ¼ºº°ÀÌ ¾î¶»µç °£¿¡ ÀÌ·± ·ùÀÇ ³»¿ëÀº Áöµé ¸Á»ó Á¶Áö°Ô ½á³õÀº °Í °°¾Æ¼­ ¿ô°Ü Á¤¸» ¤»¤»¤»¤»,12,0,20190724,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¼Ö±î¸» ¶×¶×ÇÏÁö ¾Ê¾ÒÀ¸¸é µÞ´ã±ñ »öÈ÷µé ¹øÈ£µû·Á Çß´Ù1¤µ,1,8,20190611,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,´ñ±ÛÃ¢ ÀÎ¼º °³ÅÍÁ³³× ¹Ì¤ÑÄ£,5,2,20190606,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿ö¸¶µå¸Þ°¥,11,2,20190602,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¤»¤»¤» »ìÀº Á¸³ª°Ô Âî¿ö³õ°í ¾ó±¼¸¸Å­Àº ÄÚ¸£¼ÂÀ» ¹þÁö ¸øÇÔ ¤»¤»¤»½ÇÁ¦·Î Àú¸¸Å­ Âî¸é ÀÌ¸ñ±¸ºñ Àú·¸°Ô  À¯Áö ¾ÈµÇ´Â°Å ¾Æ½ÃÁÒ??,58,0,20190526,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,³²ÁÖ°¡ ¿µ·ÕÇÏ°Ô »ý±ä °Å Ã³À½ÀÌ´Ù È£¿À,4,0,20190526,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,µÅÁö³â ºÐ¼ö¸¦ ¾Ë°Å¶ó,14,25,20190525,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¤©¤· ¸ö¹«°Ô ¸ÅÄªÇØ¼­ ¸¸³ª¾ßÇÔ ³ë¾ç½ÉÀÌÁö ¤»,15,16,20190522,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾îÈÞ ÄôÄçÀÌµé µ¢Ä¡¿¡ ¸Â°Ô Á¦ÀÛÇÑ µå¸² À¥Å÷ÀÎ°¡ ¶×ÇÏ¸é °°Àº ¶×¶¯ÀÌµé ¸¸³ª¶ó ³²ÀÚµç ¿©ÀÚµç ,11,14,20190519,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿Ü¸ðÁö»óÁÖÀÇ¸¸È­¶û ´Ù¸¥¸¸È­¶û Á¶È¸¼ö°¡ ´Ù¸§±×³É Á¸ÀßÇÏ³ª¿¡ »·ÇÑ ½ºÅä¸®ÇÏ³ª½á³öµµ º»ÀüÀº»Ìµå¸¸´Ïµé´ö¿¡,0,1,20190518,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,oh... ´ñ±ÛÃ¢ ÀÎ¼º ¿À¿ì...,10,0,20190514,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿Í Áö±Ý ´Ù½Ãº¸´Ï±î.Ã³À½ºÎÅÍ ¾Ë¾Æº¸°í ¹Ý¸»Çß¾ú³×...±×·¯´Ù º¸¶ó Á¸´ñÇÏ´Ï±î Á¸´ñÇÏ°í...,3,0,20190512,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾Æ ±×¸²Ã¼ ³» ½ºÅ¸ÀÏ¤»¤»¤»¤»¤»¤»,2,3,20190508,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,³²ÁÖ°¡ ÀúÁ¤µµ·Î ¶×¶×ÇÑ À¥Å÷ ³ª¿À¸é ¾È º¼°Å¸é¼­....¿©ÁÖ °ú°Å °³¿¹ºìµ¥ »ì»©´Â Àü°³ ³ª¿À¸é ÁÁ°Ú´Ù ¤Ì,10,9,20190504,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,°³µÅÁö°í ÀÚ½Ã°í°£¿¡ ¶×¶×ÇÑµ¥ ÇÇÇØÀÔÈ÷´Â »ç¶÷µé ¿ç¶ó º°·ÎÀÎ°Ç ¸ÂÀ½; ¶×¶×ÇÏ¸é ¾ÉÁú¸»´ø°¡ ÀÚ¸® Ä§¹üÇÏ¸é ¿· »ç¶÷ ÇÇÇØ ÀÔ´Â°Å »·È÷ ¾Ë¸é¼­ ±×°É ¿Ö ¾ÉÀ½??.... ¿©ÀÚµç ³²ÀÚµç ±ØÇøÀÓ,9,29,20190428,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿ÀÈ÷·Á ÀÌ·± ¸¸È­°¡ »ç¶÷µé »óÃ³ÁÖ´Â°ÅÀÓ ¤»¤»,9,0,20190428,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¤»¤»¤» ½æ³×ÀÏº¸°í Àß¸øº»°Ç°¡ Çß´Âµ¥ Àç´ë·Î º»°Å³×..È£»§¾ó±¼ ±Í¿©¿ò ¤»¤»¤»¤»,2,2,20190628,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,µÅÁö ±ØÇø,8,19,20190627,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¤»¤»¤» ¶×¶¯ÀÌ´Â ¼¼±Ý ´õ ³»¾ßµÊ,12,19,20190624,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¸ø¾Ë¾Æº¼¼ö ¾øÀÝ¾Æ¿ä? ±×·²¼öÀÖ³ª¿ä?»ìÂÈ´Ù°í...¤»¤»¤»¤»¤»¤»¤»¤»¤»¿©ÁÖ..µéÄ×¾î...,2,0,20190623,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,ÀºÇà»ç°Åž¤»¤»¤»¤» ³ë¿øÁÖ¹ÎÀÌ½Å°¡..,1,0,20190623,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,½ºÅä¸® »ê¸¸Çß´Ù´ø ¹è´ñ »èÁ¦µÊ?,1,1,20190623,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿©ÁÖ³â ¿Í²Ù ¤©¤· ½É°¢ÁF³×,10,19,20190622,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,µÅÁö´Â ¼¼±Ý ´õ³»¾ßÇÔ,10,23,20190617,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,Á¸³ª µÕ±ÛµÕ±ÛÇÏ³× °³ Ä¿¿±´© ¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»,6,8,20190616,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¶Ñ¿õ³à~,6,16,20190616,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¶Ù´Â Àå¸é¿¡ ¿©ÁÖ ¹«½¼ Ç³¼±ÀÌ³Ä°ø... µ¿±×µ¿±ÛÇØ¤»¤»¤»,4,5,20190616,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿ì¸® ¾ð³Äµé °¨Á¤ÀÌÀÔ¿¡ °ø°¨ÇÏ´À¶ó ¤²¤§¤²¤§ÇÏ´Â °Ç ÀÌÇØÇÏ°Ú´Âµ¥ ¸¸È­¿Í ´Þ¸® ½ÇÁ¦·Î Àú·¸°Ô »ì Âî¸é ÀÌ¸ñ±¸ºñ ¶Ñ·ÇÇÏ°Ô ¾È³²´Â°Å º»ÀÎµéµµ ¾Ë¸é¼­ Âü...,22,10,20190616,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾Æ´Ï ´Ù¸¥°Å¸ð¸£°Ú°í ¿©ÁÖ Á¹¶ó¿ô±â°í±Í¿©Ÿp¤»¤»¤»¤»¤»¤»¤»¤»¤»¤»,2,3,20190616,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,ÀºÇà»ç°Å¸®¶ó´Ï ÀºÇà»ç°Å¸®°¡ °Å±â¼­ ³ª¿Í?,0,0,20190616,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¶Ç ¶Ç µ¶ÀÚµé ÇÇÇØÀÇ½Ä ¹ßµ¿ °É¸®Áê?,5,7,20190615,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¤¸1¤©ÇÏ³× ¤»¤»¤» °¨Á¤ÀÌÀÔµé µÇ¼Ë³ª?? ¤»¤»¤»¤»,9,3,20190421,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,Èþ º¸¶ó ±Í¿©¿îµ¥,1,5,20190421,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿©±â ¿©ÁÖ´Â »ì»©¸é 100% ÀÌ»Ú´Ù´Â º¸ÀåÀÌ ÀÖ´Âµ¥ ´ÔµéÀº...? Èì...,15,2,20190421,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¶×µÅÁöµé°ú ÈÆ³²·Î¸Ç½º?¤»¤»¤»¤» µÅÁöµéÀÇ Èñ¸Á°í¹®¹° ¿ÀÁ³ÁÒ ,46,19,20190420,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¶×¶¯ÀÌ´Â Á¸³ª ÀÌ±âÀûÀÌ¶ó¼­ ÁöÈ¥ÀÚ ´ÙÃÄ¸Ô¾î¼­ ÆÄ¿ÀÈÄ°¡ µÈ°Å´Ù.,26,20,20190416,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,ºü¾Ó???»§????,0,3,20190415,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,´ë¸®¸¸Á·¹° º¸´Â °Ç ³²ÀÚ³ª ¿©ÀÚ³ª ¶È°°Àºµ¥ ¿Ö ¿©±â ¸ô·Áµé¾î¼­ µæ´Þ°°ÀÌ ¿åÇÏ³Ä¤»¤»¤»³ªµµ ÀÌ ¸¸È­ ¸¾¿¡ µå´Â °Ç ¾Æ´Ñµ¥ ±×°Ç ¹¹ Â÷Ä¡ÇÏ°í,7,5,20190415,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,´Ôµé¾Æ.. ¶×¶×ÇØÁö¸é ÀÌ¸ñ±¸ºñµµ Èå·ÁÁ®¿ä.. Àú·¸°Ô ´«Å©°í ±×·¸Áö ¾È½¿´Ù.. È¯»óÀ» ±ú½Ê¼î,45,0,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,³²ÁÖ 100ÆÛ ¾Æ´Â°Çµ¥...¸ð¸£°í Àú·¯´Â°Å¸é¤Ñ¤Ñ ÇÙ ¸ðÁö¸®,1,0,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾ÈµÅÁÒ,0,0,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,³ª´Â ¿©ÁÖ ÀÌ»Ú°Ô º¸ÀÌ´Âµ¥?¤»¤»¤»¹ö½º¿¡ ¿åÇÏ´Â »ç¶÷µéÀº Áý¿¡ °Å¿ï ¾ø³ª?¤» ÁöµéÀº ¾ó¸¶³ª Àß »ý°å´Ù°í ³²ÇÑµ¥ ¿åÇÏ°í Áã¶öÀÌÁö?¤»¤»,6,24,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,Çô...Çô...Çö±ÝÀÖ¾î¿ä?,0,0,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾µµ¥¾øÀÌ ¾ø´ø ´Ü¾î ¸¸µé¾î¼­ ¾²´Â °Íµµ ÀÛÀÛÇØ¾ßÁö Æè2µå¶ó¤»¤»¤»¤» º´·Ä°ü°è¿¡ ³õ¿©Áø ´Ü¾îµéÀ» ¸¶±¸ ¼¯¾î¼­ ¾²³Ä¤»¤¼¤¼¤»¤»¤»¤» ±¹¾îÇÐÀÚµé ±¤±¤ ¿ï°Ù´Ù~,7,7,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¿©³² ¤·¤¸¤©¤»¤»¤»¤»¤»¤»,7,3,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,"¤»¤»¤» ¶Ç Á¸¸øÀÌ³ª ¶×³à ÁÁ¾ÆÇÏ´Â ¾Ã Á¸Àß³² °úÀÇ ·¯ºê ½ºÅä¸® ³ª¿À¼Ì³× µÅÁöµéÀÇ Èñ¸Á °í¹®ÀÎ°¡.. Á¤¸» °´°üÀûÀÌ°í ³ÃÁ¤ÇÏ°Ô ÀÌ»Û¿©ÀÚµéÀº ÀÇ¿Ü·Î ¶×³²ÀÌ³ª Æò³²ÀÌ¶û ¿¬¾ÖÇÏ´Â°Å ½É½ÉÂú°Ô º¸ÀÌ´Âµ¥ (´É·Â,µ·) Á¸Àß³²ÀÌ ¶×³à³ª ¸ø»ý±ä¾Ö ¸¸³ª´Â ÀÏ?  ¾øÀ½ ³²ÀÚ°¡ ¿Ü¸ð ´õ µûÁö´Â°Ç ÆÑÆ® ¿©ÀÚ´Â ³²ÀÚ ´É·ÂÀÌ³ª ¹è°æ ÁÁÀ¸¸é ¤·¤»³ª¿Ã ¼öµµ ÀÖ´Âµ¥ ³²ÀÚ´Â ±×°Ô ¾ÈµÊ Á» ´õ Çö½ÇÀûÀ¸·Î ¸»ÇÏ¸é ÀÌ»Û ¿©ÀÚµéÀº ¼ºÇüÀÌ³ª È­ÀåÀ¸·Î ²Ï º¸ÀÌ´Âµ¥ Á¸Àß³²Àº ±×¿¡ ºñÇØ º°·Î ¾øÀ½ ¶§¹®¿¡ Á¸Àß³²µéÀº ±»ÀÌ? ±×·² ÇÊ¿ä°¡ ¾ø´Ù´Â°Å ²Þ ±ú¼À Á¸Àß³²µéÀº ¾ó±¼°ªÀ» ÇÔ (Á¸Àß±îÁö ¾È°¡µµ;;)¸»À» Á¸³ª Àç¹Ì ¾ø°Ô ÇÏ°Å³ª ¿À±Û°Å¸®°Å³ª  ½Î°¡Áö°¡ ¾ø°Å³ª ¿©ÀÚ°¡ ¸¹°Å³ª ¾î´ÀÁ¤µµ  ¿Ïº®ÇÑ »ç¶÷µµ Á¸ÀçÇÏ°ÚÁö ±×·±»ç¶÷ÀÌ Æ¼ºñ¿¡µµ ¾È³ª°¡°í ¿©Ä£ÀÌ ¾ø´Â »óÅÂ¿¡¼­ ³Ê³×¸¦ ¸¸³¯ È®·ü? ",23,10,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¶×¶×ÇÔÀº ³î·Áµµ µÈ´Ù.¿Ü¸ð³ª Å° µîÀº ÀÚ½ÅÀÌ ¾î¶² ³ë·ÂÀ» ÇØµµ ¹Ù²Ü¼ö ¾øÁö¸¸ ¸ö¸Å´Â ´©±¸³ª ³ë·ÂÇÏ¸é »ìÀ» »¬¼ö ÀÖ°í ½ÇÁ¦·Î ±×·¸°Ô ÇÑ »ç·Êµµ ¸¹´Ù. ¸Ô°í½ÍÀº°Å ÇÏ°í½ÍÀº°Å Âü¾Æ°¡¸ç ¸ÅÀÏ¸ÅÀÏ ÇÇ³ª´Â ¿îµ¿°ú Á¶ÀýµÈ ½Ä´ÜÀ¸·Î ¸ö¸Å¸¦ À¯ÁöÇÏ´Â »ç¶÷°ú ±×³É ¼îÆÄ¿¡ ´©¿ö ÇÏ·çÁ¾ÀÏ °úÀÚ¸¸ ÃÄ¸Ô´Â »ç¶÷ÀÌ ¶È°°À»¼ö´Â ¾ø´Ù. ¶×¶×ÇÔÀ¸·Î ³î¸²¹Þ´Â°Ô »óÃ³¶ó¸é ¶×¶×ÇÔÀÌ ´ç´çÇÏ¸ç ³î¸²¹ÞÀ» ÀÌÀ¯´Â ¾ø´Ù°í »ý°¢À» °¡ÁöÁö ¸»°í ±× ³î¸²À» ¾çºÐ»ï¾Æ ³ë·ÂÀ¸·Î ±× ¶×¶×ÇÔÀ» ¾ø¾Ö¶ó.,13,26,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¾î¾û Àº»ç¸é ¿ì¸®µ¿³×³×,1,0,20190414,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,¼ºº° ¹Ù²ï°Ô¾ø´Ù°í? ÂîÁú³²ÀÌ ÀÌ»Û¿©ÀÚ ¸¸³ª´Â ³ÑÄ¡´Âµ¥ ¶Ç ±×°Ç ±×°Í´ë·Î ¿åÇÏÀÝ¾Æ? ¸Á»ó¾´´Ù°í ºÒÆí·¯µéÀº ÁøÂ¥ ÅÂ¿öÁ×¿©¾ßµÅ ,3,8,20190408,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,°¨»çÇÏ½Ê¼î¤»¤»¤»¤» ³ªµµ ½á¸Ô¾î¾ßÁö,0,0,20190408,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,Àü ³²ÀÚÄ£±¸·¡ ¤¾¤¾¾ó±¼ ÀÌ»Ûµ¥ ¿Ö ³­ ÀÌ ¿©ÁÖÀÇ ¸¶À½ ÀÌÇØÇÔ ¤»¤»¤»¼³º¸¶ó È­ÀÌÆÃ,5,0,20190407,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,°³µÅÁö¿©ÀÚ..±ØÇø..,7,19,20190407,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,ºÎ·´´Ù »ì»©¸é Á¸¿¹ÀÎ°ÅÀÚ³ª ³­ »ì»©¸é ¸êÄ¡ÀÎµ¥,2,6,20190407,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,±×·¡µÎ ºÐ·® Â¯¸¹¾Æ¿ë,1,1,20190331,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,³²ÀÚ°¡ ÆÄ¿ÀÈÄ°í ¿©ÀÚ°¡ Á¸¿¹¿´À¸¸é ÄôÄçÀÌµé ¹ÝÀÀÀÌ ¾î¶³±î?,35,3,20190331,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,ÅëÅë ÀÌ²Ã ¶×¶×,2,9,20190329,4773
8¿ùÀÇ ´«º¸¶ó,1È­,±è¸®¾Æ,9.25,20181103,? ¿©ÁÖ´Â ÀÌ»Ú´Ù´Â ±âÁØÀÌ ÀÖ´Âµ¥  ,1,4,20190329,4773
